llm,profile_type,recall10_mean,recall10_std,ndcg10_mean,ndcg10_std,seeds,avg_queries_per_seed
deepseek,rec_optimized,0.10700000000000001,0.01890767040118904,0.048732837971211494,0.009914587216487422,5,200.0
deepseek,user_facing,0.073,0.009746794344808962,0.032909364979019466,0.005160252428238422,5,200.0
gemini,rec_optimized,0.091,0.021621748310439653,0.050698968883359063,0.009834281820697755,5,200.0
gemini,user_facing,0.081,0.0151657508881031,0.03467180738328103,0.007352394577983506,5,200.0
llama,rec_optimized,0.083,0.010368220676663863,0.032986702582305134,0.003576019193871058,5,200.0
llama,user_facing,0.072,0.013038404810405304,0.03374962308844541,0.006048612290291273,5,200.0
